test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/application_development/cpp/misc.app_dev.cpp,arc,nsim_em_mpu_stack_guard,True,,,False,,29380,16768
tests/application_development/gen_inc_file/buildsystem.include_file,arc,nsim_em_mpu_stack_guard,True,,,False,7.188631296157837,37829,20985
tests/application_development/libcxx/misc.app_dev.libcxx,arc,nsim_em_mpu_stack_guard,True,,,False,7.153184652328491,40732,22808
tests/application_development/libcxx/misc.app_dev.libcxx.exceptions,arc,nsim_em_mpu_stack_guard,True,,,False,7.157337188720703,72324,54352
tests/benchmarks/sys_kernel/benchmark.kernel,arc,nsim_em_mpu_stack_guard,True,,,False,7.267078876495361,48928,23556
tests/benchmarks/timing_info/benchmark.timing.default_kernel,arc,nsim_em_mpu_stack_guard,True,,,False,7.297656059265137,36060,26484
tests/benchmarks/timing_info/benchmark.timing.userspace,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_userspace.conf,False,8.217401504516602,88326,54041
tests/crypto/mbedtls/crypto.mbedtls,arc,nsim_em_mpu_stack_guard,True,,,False,135.64853811264038,158043,129994
tests/crypto/rand32/crypto.rand32,arc,nsim_em_mpu_stack_guard,True,,,False,7.029590129852295,36464,19612
tests/crypto/rand32/crypto.rand32.random_sw_systimer,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_sw_random_systimer.conf,False,6.993419408798218,36464,19612
tests/crypto/tinycrypt/crypto.tinycrypt,arc,nsim_em_mpu_stack_guard,False,timeout,,False,,,
tests/crypto/tinycrypt_hmac_prng/crypto.tinycrypt,arc,nsim_em_mpu_stack_guard,True,,,False,19.246251821517944,133320,77564
tests/drivers/ipm/peripheral.mailbox,arc,nsim_em_mpu_stack_guard,True,,,False,7.274489641189575,40732,23704
tests/drivers/uart/uart_basic_api/peripheral.uart,arc,nsim_em_mpu_stack_guard,True,,,False,,36392,19548
tests/drivers/uart/uart_basic_api/peripheral.uart.poll,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_poll.conf,False,,36392,19548
tests/drivers/uart/uart_basic_api/peripheral.uart.shell,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj_shell.conf,False,,61738,43748
tests/kernel/common/kernel.common,arc,nsim_em_mpu_stack_guard,True,,,False,8.520795345306396,139160,80463
tests/kernel/common/kernel.common.misra,arc,nsim_em_mpu_stack_guard,True,,,False,8.783990859985352,139280,80583
tests/kernel/context/kernel.common,arc,nsim_em_mpu_stack_guard,True,,,False,7.681055545806885,89180,30132
tests/kernel/critical/kernel.common.nsim,arc,nsim_em_mpu_stack_guard,False,timeout,,False,,,
tests/kernel/early_sleep/kernel.common,arc,nsim_em_mpu_stack_guard,True,,,False,8.91130256652832,43929,22857
tests/kernel/fatal/kernel.common.stack_protection,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=prj.conf,False,7.660456418991089,89838,57557
tests/kernel/fatal/kernel.common.stack_sentinel,arc,nsim_em_mpu_stack_guard,True,,CONF_FILE=sentinel.conf,False,8.17029619216919,31828,20972
tests/kernel/fifo/fifo_api/kernel.fifo,arc,nsim_em_mpu_stack_guard,True,,,False,7.523165702819824,57260,27608
tests/kernel/fifo/fifo_api/kernel.fifo.poll,arc,nsim_em_mpu_stack_guard,True,,"CONF_FILE=""prj_poll.conf""",False,7.941779375076294,60168,30488
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout,arc,nsim_em_mpu_stack_guard,True,,,False,7.3418128490448,82316,27348
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout.poll,arc,nsim_em_mpu_stack_guard,True,,"CONF_FILE=""prj_poll.conf""",False,7.487294435501099,85240,30260
tests/kernel/fifo/fifo_usage/kernel.fifo.usage,arc,nsim_em_mpu_stack_guard,True,,,False,7.313703298568726,45432,24256
tests/kernel/fifo/fifo_usage/kernel.fifo.usage.poll,arc,nsim_em_mpu_stack_guard,True,,"CONF_FILE=""prj_poll.conf""",False,7.371489524841309,48364,27168
tests/kernel/interrupt/arch.interrupt.nodyn,arc,nsim_em_mpu_stack_guard,True,,,False,7.3785178661346436,38748,21844
tests/kernel/lifo/lifo_api/kernel.lifo,arc,nsim_em_mpu_stack_guard,True,,,False,7.903134107589722,50020,24628
tests/kernel/lifo/lifo_usage/kernel.lifo.usage,arc,nsim_em_mpu_stack_guard,True,,,False,7.865969181060791,90004,26540
