test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/application_development/cpp/misc.app_dev.cpp,arc,nsim_em,True,,,False,,23128,16644
tests/application_development/gen_inc_file/buildsystem.include_file,arc,nsim_em,True,,,False,6.860762596130371,29537,20861
tests/application_development/libcxx/misc.app_dev.libcxx,arc,nsim_em,True,,,False,6.9728102684021,32416,22660
tests/application_development/libcxx/misc.app_dev.libcxx.exceptions,arc,nsim_em,True,,,False,6.893868684768677,64028,54224
tests/benchmarks/sys_kernel/benchmark.kernel,arc,nsim_em,True,,,False,6.826085090637207,48948,23576
tests/benchmarks/timing_info/benchmark.timing.default_kernel,arc,nsim_em,True,,,False,8.838207721710205,36080,26504
tests/benchmarks/timing_info/benchmark.timing.userspace,arc,nsim_em,True,,CONF_FILE=prj_userspace.conf,False,8.587740898132324,78118,53993
tests/crypto/mbedtls/crypto.mbedtls,arc,nsim_em,True,,,False,129.37764406204224,150427,128474
tests/crypto/rand32/crypto.rand32,arc,nsim_em,True,,,False,7.972218751907349,28172,19488
tests/crypto/rand32/crypto.rand32.random_sw_systimer,arc,nsim_em,True,,CONF_FILE=prj_sw_random_systimer.conf,False,6.906044006347656,28172,19488
tests/crypto/tinycrypt/crypto.tinycrypt,arc,nsim_em,False,timeout,,False,,,
tests/crypto/tinycrypt_hmac_prng/crypto.tinycrypt,arc,nsim_em,True,,,False,18.441981315612793,125008,77420
tests/drivers/ipm/peripheral.mailbox,arc,nsim_em,True,,,False,6.965287923812866,30908,23584
tests/drivers/uart/uart_basic_api/peripheral.uart,arc,nsim_em,True,,,False,,28100,19424
tests/drivers/uart/uart_basic_api/peripheral.uart.poll,arc,nsim_em,True,,CONF_FILE=prj_poll.conf,False,,28100,19424
tests/drivers/uart/uart_basic_api/peripheral.uart.shell,arc,nsim_em,True,,CONF_FILE=prj_shell.conf,False,,53450,43628
tests/kernel/common/kernel.common,arc,nsim_em,True,,,False,8.38640022277832,120688,80295
tests/kernel/common/kernel.common.misra,arc,nsim_em,True,,,False,8.873656511306763,120808,80415
tests/kernel/context/kernel.common,arc,nsim_em,True,,,False,7.758694648742676,44232,30008
tests/kernel/critical/kernel.common,arc,nsim_em,False,timeout,,False,,,
tests/kernel/early_sleep/kernel.common,arc,nsim_em,True,,,False,6.95524787902832,31933,22733
tests/kernel/fatal/kernel.common.stack_protection,arc,nsim_em,True,,CONF_FILE=prj.conf,False,8.007089614868164,79630,57525
tests/kernel/fatal/kernel.common.stack_sentinel,arc,nsim_em,True,,CONF_FILE=sentinel.conf,False,6.844372510910034,31848,20992
tests/kernel/fifo/fifo_api/kernel.fifo,arc,nsim_em,True,,,False,7.027050495147705,38240,27484
tests/kernel/fifo/fifo_api/kernel.fifo.poll,arc,nsim_em,True,,"CONF_FILE=""prj_poll.conf""",False,7.216792106628418,41148,30364
