test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/application_development/cpp/misc.app_dev.cpp,arc,nsim_hs,True,,,False,,19188,15968
tests/application_development/gen_inc_file/buildsystem.include_file,arc,nsim_hs,True,,,False,7.035837888717651,25541,20129
tests/application_development/libcxx/misc.app_dev.libcxx,arc,nsim_hs,True,,,False,6.7863006591796875,28600,22108
tests/application_development/libcxx/misc.app_dev.libcxx.exceptions,arc,nsim_hs,True,,,False,6.697818994522095,60288,53748
tests/benchmarks/sys_kernel/benchmark.kernel,arc,nsim_hs,True,,,False,6.613086223602295,47096,23484
tests/benchmarks/timing_info/benchmark.timing.default_kernel,arc,nsim_hs,True,,,False,7.553899765014648,34272,26456
tests/crypto/mbedtls/crypto.mbedtls,arc,nsim_hs,True,,,False,71.77298259735107,100441,76953
tests/crypto/rand32/crypto.rand32,arc,nsim_hs,True,,,False,7.280522584915161,22988,18596
tests/crypto/rand32/crypto.rand32.random_sw_systimer,arc,nsim_hs,True,,CONF_FILE=prj_sw_random_systimer.conf,False,6.597887754440308,22988,18596
tests/crypto/tinycrypt/crypto.tinycrypt,arc,nsim_hs,True,,,False,262.83111238479614,115672,106992
tests/crypto/tinycrypt_hmac_prng/crypto.tinycrypt,arc,nsim_hs,True,,,False,12.084687948226929,121008,76684
tests/drivers/ipm/peripheral.mailbox,arc,nsim_hs,True,,,False,6.551532030105591,27532,22960
tests/drivers/uart/uart_basic_api/peripheral.uart,arc,nsim_hs,True,,,False,,23076,18688
tests/drivers/uart/uart_basic_api/peripheral.uart.poll,arc,nsim_hs,True,,CONF_FILE=prj_poll.conf,False,,23076,18688
tests/drivers/uart/uart_basic_api/peripheral.uart.shell,arc,nsim_hs,True,,CONF_FILE=prj_shell.conf,False,,49522,42968
tests/kernel/common/kernel.common,arc,nsim_hs,True,,,False,7.175227403640747,53934,45322
tests/kernel/common/kernel.common.misra,arc,nsim_hs,True,,,False,7.621614456176758,53774,45162
tests/kernel/context/kernel.common,arc,nsim_hs,True,,,False,7.549892902374268,39356,29420
tests/kernel/critical/kernel.common,arc,nsim_hs,True,,,False,17.93565034866333,31172,23320
tests/kernel/early_sleep/kernel.common,arc,nsim_hs,True,,,False,7.029310941696167,27077,22165
tests/kernel/fatal/kernel.common.stack_protection,arc,nsim_hs,True,,CONF_FILE=prj.conf,False,7.009474039077759,26524,19964
tests/kernel/fatal/kernel.common.stack_sentinel,arc,nsim_hs,True,,CONF_FILE=sentinel.conf,False,6.9581944942474365,26812,20244
tests/kernel/fifo/fifo_api/kernel.fifo,arc,nsim_hs,True,,,False,6.773212909698486,33376,26908
tests/kernel/fifo/fifo_api/kernel.fifo.poll,arc,nsim_hs,True,,"CONF_FILE=""prj_poll.conf""",False,6.728696584701538,36292,29796
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout,arc,nsim_hs,True,,,False,6.720903635025024,41560,26624
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout.poll,arc,nsim_hs,True,,"CONF_FILE=""prj_poll.conf""",False,6.62595009803772,44492,29544
tests/kernel/fifo/fifo_usage/kernel.fifo.usage,arc,nsim_hs,True,,,False,6.581179857254028,29232,23576
tests/kernel/fifo/fifo_usage/kernel.fifo.usage.poll,arc,nsim_hs,True,,"CONF_FILE=""prj_poll.conf""",False,6.606495141983032,32172,26496
tests/kernel/interrupt/arch.interrupt.nodyn,arc,nsim_hs,True,,,False,6.5202717781066895,25608,21160
tests/kernel/lifo/lifo_api/kernel.lifo,arc,nsim_hs,True,,,False,6.759045362472534,29732,23948
tests/kernel/lifo/lifo_usage/kernel.lifo.usage,arc,nsim_hs,True,,,False,6.594552040100098,43120,25816
tests/kernel/mbox/mbox_api/kernel.mailbox,arc,nsim_hs,True,,,False,6.7261741161346436,39844,30312
tests/kernel/mbox/mbox_usage/kernel.mailbox,arc,nsim_hs,True,,,False,6.77212929725647,27592,21464
tests/kernel/mem_heap/mheap_api_concept/kernel.memory_heap,arc,nsim_hs,True,,,False,6.715777635574341,27080,22408
tests/kernel/mem_pool/mem_pool/kernel.memory_pool,arc,nsim_hs,True,,,False,7.029594659805298,40184,24352
tests/kernel/mem_pool/mem_pool_api/kernel.memory_pool,arc,nsim_hs,True,,,False,6.805197715759277,29616,23752
tests/kernel/mem_pool/mem_pool_concept/kernel.memory_pool,arc,nsim_hs,True,,,False,6.797729969024658,31580,24568
tests/kernel/mem_pool/mem_pool_threadsafe/kernel.memory_pool,arc,nsim_hs,True,,,False,6.922172784805298,28164,21048
tests/kernel/mem_pool/sys_mem_pool/kernel.memory_pool,arc,nsim_hs,True,,,False,6.610561847686768,34468,29796
tests/kernel/mem_protect/stack_random/kernel.memory_protection.stack_random,arc,nsim_hs,True,,,False,6.743019342422485,25980,19412
tests/kernel/mem_protect/stackprot/kernel.memory_protection,arc,nsim_hs,True,,,False,6.621088266372681,28648,22076
tests/kernel/mem_protect/sys_sem/kernel.memory_protection.sys_sem,arc,nsim_hs,True,,,False,6.618338584899902,34284,26032
tests/kernel/mem_protect/sys_sem/kernel.memory_protection.sys_sem.nouser,arc,nsim_hs,True,,,False,6.737583875656128,34284,26032
tests/kernel/mem_slab/mslab/kernel.memory_slabs,arc,nsim_hs,True,,,False,6.63489294052124,30720,21088
tests/kernel/mem_slab/mslab_api/kernel.memory_slabs,arc,nsim_hs,True,,,False,6.5926995277404785,27636,23112
tests/kernel/mem_slab/mslab_concept/kernel.memory_slabs,arc,nsim_hs,True,,,False,6.596672773361206,28028,21672
tests/kernel/mem_slab/mslab_threadsafe/kernel.memory_slabs,arc,nsim_hs,True,,,False,6.650339365005493,26540,19356
tests/kernel/msgq/msgq_api/kernel.message_queue,arc,nsim_hs,True,,,False,6.682983160018921,35460,28740
tests/kernel/mutex/mutex_api/kernel.mutex,arc,nsim_hs,True,,,False,6.823410511016846,28752,23700
tests/kernel/mutex/sys_mutex/sys.mutex.nouser,arc,nsim_hs,True,,,False,6.7649171352386475,33880,25572
tests/kernel/obj_tracing/kernel.object_tracing,arc,nsim_hs,True,,,False,6.758287191390991,44416,27288
tests/kernel/pending/kernel.common.timing,arc,nsim_hs,True,,,False,7.067022085189819,37576,28300
tests/kernel/pipe/pipe/kernel.pipe,arc,nsim_hs,True,,,False,6.671270132064819,36441,29968
tests/kernel/pipe/pipe_api/kernel.pipe,arc,nsim_hs,True,,,False,7.020857810974121,39660,31596
tests/kernel/poll/kernel.poll,arc,nsim_hs,True,,,False,6.768974781036377,42016,34676
tests/kernel/profiling/profiling_api/kernel.profiling,arc,nsim_hs,True,,,False,6.999475717544556,31986,24592
tests/kernel/queue/kernel.queue,arc,nsim_hs,True,,,False,6.923271417617798,34984,27660
tests/kernel/queue/kernel.queue.poll,arc,nsim_hs,True,,"CONF_FILE=""prj_poll.conf""",False,6.738828182220459,37908,30556
tests/kernel/sched/deadline/kernel.sched.deadline,arc,nsim_hs,True,,,False,6.820938587188721,28820,21308
tests/kernel/sched/preempt/kernel.sched.preempt,arc,nsim_hs,True,,,False,8.52560019493103,32028,22968
tests/kernel/sched/schedule_api/kernel.sched,arc,nsim_hs,True,,,False,14.931510210037231,45696,30240
tests/kernel/sched/schedule_api/kernel.sched.multiq,arc,nsim_hs,True,,CONF_FILE=prj_multiq.conf,False,15.585031747817993,45892,30184
tests/kernel/sched/schedule_api/kernel.sched.multiq_no_timeslicing,arc,nsim_hs,True,,CONF_FILE=prj_multiq.conf,False,7.604553699493408,42084,27608
tests/kernel/sched/schedule_api/kernel.sched_no_timeslicing,arc,nsim_hs,True,,,False,7.1182475090026855,41836,27612
