test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/application_development/cpp/misc.app_dev.cpp,arc,nsim_sem_mpu_stack_guard,True,,,False,,20327,16992
tests/application_development/gen_inc_file/buildsystem.include_file,arc,nsim_sem_mpu_stack_guard,True,,,False,7.564854145050049,26760,21209
tests/application_development/libcxx/misc.app_dev.libcxx,arc,nsim_sem_mpu_stack_guard,True,,,False,7.16767954826355,29663,23032
tests/application_development/libcxx/misc.app_dev.libcxx.exceptions,arc,nsim_sem_mpu_stack_guard,True,,,False,7.38883376121521,61252,54576
tests/benchmarks/sys_kernel/benchmark.kernel,arc,nsim_sem_mpu_stack_guard,True,,,False,8.202826499938965,47050,23372
tests/benchmarks/timing_info/benchmark.timing.default_kernel,arc,nsim_sem_mpu_stack_guard,True,,,False,9.117155075073242,34182,26300
tests/benchmarks/timing_info/benchmark.timing.userspace,arc,nsim_sem_mpu_stack_guard,True,,CONF_FILE=prj_userspace.conf,False,24.09460687637329,66449,52129
tests/crypto/mbedtls/crypto.mbedtls,arc,nsim_sem_mpu_stack_guard,True,,,False,115.75665163993835,140194,127534
tests/crypto/rand32/crypto.rand32,arc,nsim_sem_mpu_stack_guard,True,,,False,6.892506837844849,24367,19832
tests/crypto/rand32/crypto.rand32.random_sw_systimer,arc,nsim_sem_mpu_stack_guard,True,,CONF_FILE=prj_sw_random_systimer.conf,False,6.93546724319458,24367,19832
tests/crypto/tinycrypt/crypto.tinycrypt,arc,nsim_sem_mpu_stack_guard,False,timeout,,False,,,
tests/crypto/tinycrypt_hmac_prng/crypto.tinycrypt,arc,nsim_sem_mpu_stack_guard,True,,,False,17.8753981590271,122251,77788
tests/drivers/ipm/peripheral.mailbox,arc,nsim_sem_mpu_stack_guard,True,,,False,9.819915294647217,28671,23960
tests/drivers/uart/uart_basic_api/peripheral.uart,arc,nsim_sem_mpu_stack_guard,True,,,False,,24295,19768
tests/drivers/uart/uart_basic_api/peripheral.uart.poll,arc,nsim_sem_mpu_stack_guard,True,,CONF_FILE=prj_poll.conf,False,,24295,19768
tests/drivers/uart/uart_basic_api/peripheral.uart.shell,arc,nsim_sem_mpu_stack_guard,True,,CONF_FILE=prj_shell.conf,False,,50669,43972
tests/kernel/common/kernel.common,arc,nsim_sem_mpu_stack_guard,True,,,False,8.408455610275269,98195,79047
tests/kernel/common/kernel.common.misra,arc,nsim_sem_mpu_stack_guard,True,,,False,8.965749263763428,98315,79167
tests/kernel/context/kernel.common,arc,nsim_sem_mpu_stack_guard,True,,,False,7.573997735977173,40699,30384
tests/kernel/critical/kernel.common.nsim,arc,nsim_sem_mpu_stack_guard,False,timeout,,False,,,
tests/kernel/early_sleep/kernel.common,arc,nsim_sem_mpu_stack_guard,True,,,False,6.9092583656311035,28184,23109
tests/kernel/fatal/kernel.common.stack_protection,arc,nsim_sem_mpu_stack_guard,True,,CONF_FILE=prj.conf,False,7.385275363922119,68421,55593
tests/kernel/fatal/kernel.common.stack_sentinel,arc,nsim_sem_mpu_stack_guard,True,,CONF_FILE=sentinel.conf,False,7.2331624031066895,27398,20796
tests/kernel/fifo/fifo_api/kernel.fifo,arc,nsim_sem_mpu_stack_guard,True,,,False,7.5951573848724365,34539,27860
tests/kernel/fifo/fifo_api/kernel.fifo.poll,arc,nsim_sem_mpu_stack_guard,True,,"CONF_FILE=""prj_poll.conf""",False,7.529180526733398,37447,30740
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout,arc,nsim_sem_mpu_stack_guard,True,,,False,7.320333480834961,42891,27600
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout.poll,arc,nsim_sem_mpu_stack_guard,True,,"CONF_FILE=""prj_poll.conf""",False,7.4010539054870605,45815,30512
tests/kernel/fifo/fifo_usage/kernel.fifo.usage,arc,nsim_sem_mpu_stack_guard,True,,,False,7.6384828090667725,30327,24508
tests/kernel/fifo/fifo_usage/kernel.fifo.usage.poll,arc,nsim_sem_mpu_stack_guard,True,,"CONF_FILE=""prj_poll.conf""",False,7.00926947593689,33259,27420
tests/kernel/interrupt/arch.interrupt.nodyn,arc,nsim_sem_mpu_stack_guard,True,,,False,7.035383224487305,26683,22096
tests/kernel/lifo/lifo_api/kernel.lifo,arc,nsim_sem_mpu_stack_guard,True,,,False,8.250330209732056,30851,24880
tests/kernel/lifo/lifo_usage/kernel.lifo.usage,arc,nsim_sem_mpu_stack_guard,True,,,False,7.107882261276245,44467,26760
tests/kernel/mbox/mbox_api/kernel.mailbox,arc,nsim_sem_mpu_stack_guard,True,,,False,7.502361059188843,41051,31212
tests/kernel/mbox/mbox_usage/kernel.mailbox,arc,nsim_sem_mpu_stack_guard,True,,,False,7.420429468154907,28811,22520
tests/kernel/mem_heap/mheap_api_concept/kernel.memory_heap,arc,nsim_sem_mpu_stack_guard,True,,,False,7.053265810012817,28123,23312
tests/kernel/mem_pool/mem_pool/kernel.memory_pool,arc,nsim_sem_mpu_stack_guard,True,,,False,7.232039213180542,41271,25252
tests/kernel/mem_pool/mem_pool_api/kernel.memory_pool,arc,nsim_sem_mpu_stack_guard,True,,,False,7.505152940750122,30687,24684
tests/kernel/mem_pool/mem_pool_concept/kernel.memory_pool,arc,nsim_sem_mpu_stack_guard,True,,,False,7.307919979095459,32711,25488
tests/kernel/mem_pool/mem_pool_threadsafe/kernel.memory_pool,arc,nsim_sem_mpu_stack_guard,True,,,False,7.163875102996826,29447,22092
