test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/application_development/cpp/misc.app_dev.cpp,arc,nsim_sem,True,,,False,,19686,16432
tests/application_development/gen_inc_file/buildsystem.include_file,arc,nsim_sem,True,,,False,7.041863679885864,26095,20649
tests/application_development/libcxx/misc.app_dev.libcxx,arc,nsim_sem,True,,,False,6.980371713638306,28998,22472
tests/application_development/libcxx/misc.app_dev.libcxx.exceptions,arc,nsim_sem,True,,,False,6.960896253585815,60588,54016
tests/benchmarks/sys_kernel/benchmark.kernel,arc,nsim_sem,True,,,False,6.994098424911499,47050,23372
tests/benchmarks/timing_info/benchmark.timing.default_kernel,arc,nsim_sem,True,,,False,7.4895265102386475,34182,26300
tests/benchmarks/timing_info/benchmark.timing.userspace,arc,nsim_sem,True,,CONF_FILE=prj_userspace.conf,False,12.814226865768433,66389,52149
tests/crypto/mbedtls/crypto.mbedtls,arc,nsim_sem,True,,,False,105.26838040351868,140302,127722
tests/crypto/rand32/crypto.rand32,arc,nsim_sem,True,,,False,7.1691365242004395,23702,19272
tests/crypto/rand32/crypto.rand32.random_sw_systimer,arc,nsim_sem,True,,CONF_FILE=prj_sw_random_systimer.conf,False,6.905074834823608,23702,19272
tests/crypto/tinycrypt/crypto.tinycrypt,arc,nsim_sem,False,timeout,,False,,,
tests/crypto/tinycrypt_hmac_prng/crypto.tinycrypt,arc,nsim_sem,True,,,False,19.376203536987305,121586,77228
tests/drivers/ipm/peripheral.mailbox,arc,nsim_sem,True,,,False,7.049297571182251,28006,23400
tests/drivers/uart/uart_basic_api/peripheral.uart,arc,nsim_sem,True,,,False,,23630,19208
tests/drivers/uart/uart_basic_api/peripheral.uart.poll,arc,nsim_sem,True,,CONF_FILE=prj_poll.conf,False,,23630,19208
tests/drivers/uart/uart_basic_api/peripheral.uart.shell,arc,nsim_sem,True,,CONF_FILE=prj_shell.conf,False,,50004,43412
tests/kernel/common/kernel.common,arc,nsim_sem,True,,,False,8.386306524276733,98035,79047
tests/kernel/common/kernel.common.misra,arc,nsim_sem,True,,,False,8.726502895355225,98155,79167
tests/kernel/context/kernel.common,arc,nsim_sem,True,,,False,7.268070459365845,39794,29824
tests/kernel/critical/kernel.common,arc,nsim_sem,False,timeout,,False,,,
tests/kernel/early_sleep/kernel.common,arc,nsim_sem,True,,,False,7.037309885025024,27495,22549
tests/kernel/fatal/kernel.common.stack_protection,arc,nsim_sem,True,,CONF_FILE=prj.conf,False,7.584268569946289,68325,55593
tests/kernel/fatal/kernel.common.stack_sentinel,arc,nsim_sem,True,,CONF_FILE=sentinel.conf,False,7.250077247619629,27398,20796
tests/kernel/fifo/fifo_api/kernel.fifo,arc,nsim_sem,True,,,False,7.019418716430664,33802,27300
tests/kernel/fifo/fifo_api/kernel.fifo.poll,arc,nsim_sem,True,,"CONF_FILE=""prj_poll.conf""",False,7.0472540855407715,36710,30180
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout,arc,nsim_sem,True,,,False,7.004696369171143,42014,27044
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout.poll,arc,nsim_sem,True,,"CONF_FILE=""prj_poll.conf""",False,7.041304111480713,44938,29956
tests/kernel/fifo/fifo_usage/kernel.fifo.usage,arc,nsim_sem,True,,,False,6.89511251449585,29638,23948
tests/kernel/fifo/fifo_usage/kernel.fifo.usage.poll,arc,nsim_sem,True,,"CONF_FILE=""prj_poll.conf""",False,6.902631044387817,32570,26860
tests/kernel/interrupt/arch.interrupt.nodyn,arc,nsim_sem,True,,,False,6.943639516830444,26018,21536
tests/kernel/lifo/lifo_api/kernel.lifo,arc,nsim_sem,True,,,False,7.084442615509033,30138,24320
tests/kernel/lifo/lifo_usage/kernel.lifo.usage,arc,nsim_sem,True,,,False,6.958975315093994,43538,26200
tests/kernel/mbox/mbox_api/kernel.mailbox,arc,nsim_sem,True,,,False,6.988259315490723,40218,30652
tests/kernel/mbox/mbox_usage/kernel.mailbox,arc,nsim_sem,True,,,False,6.996920347213745,28122,21960
tests/kernel/mem_heap/mheap_api_concept/kernel.memory_heap,arc,nsim_sem,True,,,False,6.981504917144775,27458,22752
tests/kernel/mem_pool/mem_pool/kernel.memory_pool,arc,nsim_sem,True,,,False,6.924093961715698,40558,24692
tests/kernel/mem_pool/mem_pool_api/kernel.memory_pool,arc,nsim_sem,True,,,False,6.989117860794067,30022,24124
tests/kernel/mem_pool/mem_pool_concept/kernel.memory_pool,arc,nsim_sem,True,,,False,6.9809730052948,31974,24928
tests/kernel/mem_pool/mem_pool_threadsafe/kernel.memory_pool,arc,nsim_sem,True,,,False,6.9681103229522705,28686,21532
tests/kernel/mem_pool/sys_mem_pool/kernel.memory_pool,arc,nsim_sem,True,,,False,7.631776332855225,73061,63273
tests/kernel/mem_protect/futex/kernel.futex,arc,nsim_sem,True,,,False,7.971494436264038,83629,60637
tests/kernel/mem_protect/mem_protect/kernel.memory_protection,arc,nsim_sem,True,,,False,8.53749394416809,88548,62276
tests/kernel/mem_protect/obj_validation/kernel.memory_protection.obj_validation,arc,nsim_sem,True,,,False,7.592375993728638,74013,55885
